Abaeis nicippe,Sleepy orange butterfly
Brassica nigra,Black mustard
Brassica oleracea,Chinese kale
Brassica oleracea,Brussel sprouts
Brassica oleracea,Wild cabbage
Brassica oleracea,Flowering kale
Brassica oleracea,White cabbage
Brassica oxyrrhina,Smoothstem turnip
Brassica rapa,Rapeseed
Brassica tournefortii,Wild turnip
Brassicogethes aeneus,Rape pollen beetle
Bregmaceros nectabanus,Smallscale codlet
Bremia lactucae,Lettuce downy mildew
Brenthia pavonacella,Peacock brenthia moth
Breviata anathema,Amoeboid flagellate
Brevicoryne brassicae,Mealy cabbage aphid
Brimeura amethystina,Spanish hyacinth
Brindalus porcicollis,Scarab beetle
Briza maxima,Quaking grass
Brocchinia micrantha,Giant tank bromeliad
Brochymena quadripustulata,Four-humped stink bug
Brodiaea coronaria,Californian hyacinth
Brodiaea filifolia,Threadleaf brodiaea
Brodiaea orcuttii,Orcutt's brodiaea
Bromus arvensis,Field brome
Bromus catharticus,Rescue brome
Bromus commutatus,Meadow brome
Bromus erectus,Upright brome
Bromus hordeaceus,Soft brome
Bromus inermis,Smooth brome grass
Bromus pictus,Patagonian grass
Bromus secalinus,Rye brome
Bromus sterilis,Barren brome
Bromus tectorum,Downy brome
Bronchocela cristatella,Green crested lizard
Brontispa longissima,Coconut leaf beetle
Brookesia antakarana,Antakarana leaf chameleon
Brookesia brygooi,Brygoo's leaf chameleon
Brookesia decaryi,Spiny leaf chameleon
Brookesia minima,Minute leaf chameleon
Brookesia perarmata,Armored leaf chameleon
Brookesia peyrierasi,Peyrieras' pygmy chameleon
Brookesia stumpffi,Plated leaf chameleon
Brookesia superciliaris,Brown leaf chameleon
Brookesia tuberculata,Dwarf chameleon
Brotia armata,Spiny snail
Brotia pagodula,Horned armour snail
Brotogeris pyrrhoptera,Grey-cheeked parakeet
Brotogeris versicolurus,White-winged parakeet
Broughtonia sanguinea,Blood red broughtonia
Broussonetia papyrifera,Paper mulberry
Brownea coccinea,Rose of Venezuela
Bruchidius cisti,Seed beetle
Bruchidius nigricornis,Seed beetle
Bruchidius pusillus,Bean weevil
Bruchidius villosus,Broom seed beetle
Bruchus brachialis,Hairy-vetch bruchid beetle
Bruchus pisorum,Pea weevil
Bruchus rufimanus,Broadbean weevil
Brugia malayi,Filarial nematode worm
Brugia pahangi,Filarial nematode worm
Brugmansia arborea,Angel's trumpet tree
Bruguiera gymnorhiza,Burma mangrove
Brycon argenteus,Silver tetra
Bryonia dioica,Red bryony
Bryopsis hypnoides,Green alga
Bryopsis maxima,Green alga
Bryopsis plumosa,Green alga
Bryoxiphium norvegicum,Norway bryoxiphium moss
Bubalus bubalis,Domestic water buffalo
Bubalus depressicornis,Lowland anoa
Bubalus quarlesi,Mountain anoa
Bubo africanus,Spotted eagle-owl
Bubo ascalaphus,Pharaoh eagle-owl
Bubo bengalensis,Rock eagle-owl
Bubo blakistoni,Blakiston's eagle-owl
Bubo bubo,Eurasian eagle-owl
Bubo lacteus,Verreaux's eagle-owl
Bubo magellanicus,Magellan horned owl
Bubo nipalensis,Spot-bellied eagle-owl
Bubo scandiacus,Snowy owl
Bubo virginianus,Great horned owl
Bubulcus ibis,Cattle egret
Buccinum undatum,Common whelk
Bucephala clangula,Common goldeneye
Bucephala islandica,Barrow's goldeneye
Buceros bicornis,Great hornbill
Buceros rhinoceros,Rhinoceros hornbill
Buchanania obovata,Green plum tree
Bucorvus abyssinicus,Northern ground-hornbill
Buddleja davidii,Butterfly bush
Buddleja saligna,Squarestem butterflybush
Budorcas taxicolor,Golden takin
Buergeria buergeri,Kajika frog
Bufo bankorensis,Central formosan toad
Bufo bufo,European toad
Bufo gargarizans,Andrew's toad
Bufo gargarizans,Asian toad
Bufo japonicus,Japanese toad
Bufo tibetanus,Tibetan toad
Bufoceratias thele,Deep-sea anglerfish
Bufotes viridis,European green toad
Bugeranus carunculatus,Wattled crane
Bugula cucullata,Marine bryozoan
Bugula flabellata,Erect bryozoan
Bugula neritina,Brown bryozoan
Buhoma procterae,Uluguru forest snake
Bulbophyllum lobbii,Lobb's bulbophyllum
Bulimina marginata,Benthic foraminifer
Bulinus truncatus,Freshwater snail
Bulla gouldiana,California bubble
Bullia rhodostoma,Smooth plough shell
Bullimus bagobus,Bagobo rat
Bullimus gamay,Camiguin forest rat
Bulnesia arborea,Maracaibo lignum-vitae
Bumba pulcherrimaklaasi,Tarantula spider
Bumilleriopsis filiformis,Yellow-green alga
Bungarus caeruleus,Indian krait
Bungarus candidus,Malayan krait
Bungarus fasciatus,Banded krait
Bungarus flaviceps,Red-headed krait
Bungarus multicinctus,Many-banded krait
Bungarus multicinctus,Many-banded krait
Bunocephalus coracoideus,Banjo catfish
Bunodosoma caissarum,Sea anemone
Bunodosoma cangicum,Sea anemone
Bunodosoma capense,Knobbly sea anemone
Bunodosoma cavernatum,Wharty sea anemone
Bunolagus monticularis,Riverine rabbit
Bunopus tuberculatus,Baiuch rock gecko
Bupleurum americanum,American thoroughwax
Bupleurum chinense,Chinese thoroughwax
Bupleurum falcatum,Sickle-leaved hare's-ear
Bupleurum rotundifolium,Hare's ear
Burhinus grallarius,Bush stone-curlew
Burhinus oedicnemus,Eurasian thick-knee
Burhinus senegalensis,Senegal thick-knee
Burkholderia gladioli,Pseudomonas marginata
Burkholderia phage,Bacteriophage BcepMu
Burramys parvus,Mountain pygmy possum
Bursaphelenchus mucronatus,Pinewood nematode worm
Bursaphelenchus xylophilus,Pinewood nematode worm
Bursatella leachii,Ragged sea hare
Busycon carica,Knobbed whelk
Busycon perversum,Perverse whelk
Busycon sinistrum,Lightning whelk
Busycotypus canaliculatus,Channeled whelk
Buteo albigula,White-throated hawk
Buteo albonotatus,Zone-tailed hawk
Buteo brachyurus,Short-tailed hawk
Buteo buteo,Eurasian buzzard
Buteo galapagoensis,Galapagos hawk
Buteo hemilasius,Upland buzzard
Buteo jamaicensis,Red-tailed hawk
Buteo lagopus,Rough-legged hawk
Buteo lineatus,Red-shouldered hawk
Buteo nitidus,Gray hawk
Buteo platypterus,Broad-winged hawk
Buteo regalis,Ferruginous hawk
Buteo ridgwayi,Ridgway's hawk
Buteo swainsoni,Swainson's hawk
Buteogallus anthracinus,Common black-hawk
Buthacus arenicola,North African scorpion
Buthacus macrocentrus,Turkish scorpion
Buthus occitanus,Common European scorpion
Buthus occitanus,Common European scorpion
Buthus occitanus,Moroccan scorpion
Buthus occitanus,Common yellow scorpion
Butomus umbellatus,Flowering rush
Butorides striata,Green-backed heron
Butorides virescens,Green heron
Buxbaumia aphylla,Brown shield-moss
Buxus microphylla,Littleleaf boxwood
Buxus sempervirens,Common box
Byblis liniflora,Carnivorous plant
Bycanistes brevis,Silvery-cheeked hornbill
Bycanistes bucinator,Trumpeter hornbill
Byctiscus populi,Leaf-rolling weevil
Byrsonima crassifolia,Cajuil cimarron
Bythograea thermydron,Hydrothermal vent crab
Cabassous unicinctus,Southern naked-tailed armadillo
Cabomba caroliniana,Carolina fanwort
Cacajao calvus,Red uakari
Cacajao melanocephalus,Black-headed uakari
Cacatua alba,White cockatoo
Cacatua ducorpsii,Solomons cockatoo
Cacatua galerita,Sulfur-crested cockatoo
Cacatua goffiniana,Tanimbar cockatoo
Cacatua haematuropygia,Philippine cockatoo
Cacatua moluccensis,Salmon-crested cockatoo
Cacatua ophthalmica,Blue-eyed cockatoo
Cacatua sulphurea,Yellow-crested cockatoo
Cacicus cela,Yellow-rumped cacique
Cacicus solitarius,Solitary black cacique
Cacicus uropygialis,Subtropical cacique
Cacomantis merulinus,Plaintive cuckoo
Cactoblastis cactorum,Cactus moth
Cadlina laevis,White Atlantic cadlina
Cadra cautella,Almond moth
Caecilia gracilis,Slender caecilian
Caecilia tentaculata,Guayaquil caecilian
Caecilia volcani,Cocle caecilian
Caenolestes fuliginosus,Shrew opossum
Caenorhabditis brenneri,Nematode worm
Caenurgina crassiuscula,Clover looper
Caerostris extrusa,Bark spider
Caesio cuning,Redbelly yellowtail fusilier
Cafeteria roenbergensis,Marine flagellate
Caiman crocodilus,Rio Apaporis caiman
Caiman crocodilus,Spectacled caiman
Cairina moschata,Muscovy duck
Cajanus cajan,Pigeon pea
Cakile maritima,European searocket
Calabaria reinhardtii,Calabar boa
Caladenia flava,Cowslip orchid
Calamagrostis epigeios,Wood small-reed grass
Calamaria pavimentata,Collared reed snake
Calamospiza melanocorys,Lark bunting
Calamus usitatus,Palm tree
Calathea crotalifera,Rattlesnake plant
Calathus angularis,Ground beetle
Calathus brevis,Ground beetle
Calathus cinctus,Ground beetle
Calathus fuscipes,Ground beetle
Calathus leechi,Ground beetle
Calathus mollis,Ground beetle
Calathus ruficollis,Flightless ground beetle
Calcarius lapponicus,Lapland longspur
Calcarius ornatus,Chestnut-collared longspur
Calcarius pictus,Smith's longspur
Calcinus obscurus,Hermit crab
Caledoniscincus austrocaledonicus,Common litter skink
Calendula officinalis,Pot marigold
Calephelis virginiensis,Little metalmark
Calicophoron daubneyi,Rumen fluke
Calicophoron microbothrioides,Rumen fluke
Calidris acuminata,Sharp-tailed sandpiper
Calidris bairdii,Baird's sandpiper
Calidris canutus,Red knot
Calidris ferruginea,Curlew sandpiper
Calidris fuscicollis,White-rumped sandpiper
Calidris himantopus,Stilt sandpiper
Calidris maritima,Purple sandpiper
Calidris mauri,Western sandpiper
Calidris melanotos,Pectoral sandpiper
Calidris minutilla,Least sandpiper
Calidris ptilocnemis,Rock sandpiper
Calidris pusilla,Semipalmated sandpiper
Calidris subruficollis,Buff-breasted sandpiper
Californiconus californicus,California cone
Caligus clemensi,Sea louse
Caligus rogercresseyi,Sea louse
Calla palustris,Water arum
Calleida decora,Ground beetle
Calliactis parasitica,Sea anemone
Callianassa subterranea,Burrowing mud shrimp
Calliandra californica,Baja fairy duster
Calliandra eriophylla,Fairy duster
Calliandra surinamensis,Suriname powder puff
Calliarthron tuberculosum,Coralline red alga
Callicarpa americana,American beautyberry
Callicarpa dichotoma,Purple beautyberry
Callicarpa japonica,Japanese beautyberry
Callicebus personatus,Black-fronted titi
Callicebus personatus,Masked titi
Callichirus kraussi,Pink ghost shrimp
Callicoma serratifolia,Black wattle
Calligrapha philadelphica,Dogwood leaf beetle
Callimico goeldii,Goeldi's marmoset
Callinectes arcuatus,Arched swimming crab
Callinectes bellicosus,Warrior swimming crab
Callinectes danae,Blue swimming crab
Callinectes sapidus,Blue crab
Calliope calliope,Siberian rubythroat
Callipepla californica,California quail
Callipepla gambelii,Gambel's quail
Callipepla squamata,Blue scaled quail
Callipepla squamata,Scaled quail
Calliphora albifrontalis,Western goldenhaired blowfly
Calliphora augur,Lesser brown blowfly
Calliphora dubia,Lesser brown blowfly
Calliphora hilli,Hill's brown blowfly
Calliphora ochracea,Reddishbrown blowfly
Calliphora stygia,Common brown blowfly
Calliphora vicina,Blue blowfly
Calliphora vomitoria,Blue bottle fly
Calliptamus italicus,Italian locust
Callirhoe involucrata,Purple poppy mallow
Callisaurus draconoides,Zebra-tailed lizard
Callisia repens,Creeping inchplant
Callistemon polandii,Gold-tipped bottlebrush
Callistephus chinensis,China aster
Callistoctopus macropus,Atlantic white-spotted octopus
Callithrix aurita,White-eared marmoset
Callithrix geoffroyi,Geoffroy's marmoset
Callithrix jacchus,White-tufted-ear marmoset
Callithrix kuhlii,Wied's black-tufted-ear marmoset
Callithrix penicillata,Black-pencilled marmoset
Callithrix pygmaea,Pygmy marmoset
Callitriche heterophylla,Large water-starwort
Callitriche stagnalis,Common water starwort
Callizzia amorata,Gray scoopwing moth
Callogorgia americana,Soft coral
Callophrys rubi,Green hairstreak
Callophrys spinetorum,Thicket hairstreak
Callophyllis beringensis,Red alga
Callophyllis violacea,Red seaweed
Callorhinchus callorynchus,Plownose chimaera
Callorhinchus capensis,Cape elephantfish
Callorhinchus milii,Ghost shark
Callorhinus ursinus,Northern fur seal
Callosciurus caniceps,Gray-bellied squirrel
Callosciurus erythraeus,Pallas's squirrel
Callosciurus notatus,Plantain squirrel
Callosciurus prevostii,Prevost's squirrel
Calloselasma rhodostoma,Malayan pit viper
Callosobruchus chinensis,Pulse beetle
Callosobruchus maculatus,Southern cowpea weevil
Callosobruchus phaseoli,Cowpea weevil
Callospermophilus lateralis,Golden-mantled ground squirrel
Callyspongia plicifera,Azure vase sponge
Callyspongia vaginalis,Branching vase sponge
Callytron malabaricum,Tiger beetle
Calocaris macandreae,Mud-burrowing shrimp
Calocedrus decurrens,California incense-cedar
Calocedrus formosana,Taiwan incense-cedar
Calochortus albus,White globe lily
Calochortus apiculatus,Baker's mariposa lily
Calochortus luteus,Yellow mariposa lily
Calochortus splendens,Splendid mariposa lily
Calochortus weedii,Weed's mariposa lily
Calocitta formosa,White-throated magpie jay
Calodendrum capense,Cape chestnut
Caloenas nicobarica,Nicobar pigeon
Calomera cardoni,Tiger beetle
Calomera littoralis,Tiger beetle
Calomera lunulata,Tiger beetle
Calomys callosus,Large vesper mouse
Calomys fecundus,Vesper mouse
Calomys hummelincki,Hummelinck's vesper mouse
Calomys laucha,Small vesper mouse
Calomys lepidus,Andean vesper mouse
Calomys musculinus,Drylands vesper mouse
Calomys sorellus,Peruvian vesper mouse
Calomys tener,Delicate vesper mouse
Calomys venustus,Vesper mouse
Calonectria kyotensis,Cylindrocladium floridanum
Calonectris diomedea,Scopoli's shearwater
Calonectris leucomelas,Streaked shearwater
Calophyllum inophyllum,Alexandrian laurel
Calopogon tuberosus,Grass pink orchid
Calopteryx aequabilis,River jewelwing damselfly
Calopteryx dimidiata,Sparkling jewelwing damselfly
Calopteryx maculata,Ebony jewelwing damselfly
Calopteryx splendens,Banded demoiselle damselfly
Calopteryx virgo,Beautiful demoiselle damselfly
Calosilpha brunnicollis,Carrion beetle
Calosoma inquisitor,Ground beetle
Calosoma scrutator,Fiery searcher beetle
Calosoma sycophanta,Forest caterpillar hunter
Calostemma luteum,Garland lily
Calotomus carolinus,Carolines parrotfish
Calotropis gigantea,Giant milkweed
Calpodes ethlius,Brazilian skipper
Caltha palustris,Yellow marsh marigold
Calumia godeffroyi,Tailface sleeper
Calumma boettgeri,Boettger's chameleon
Calumma brevicorne,Short-horned chameleon
Calumma cucullatum,Hooded chameleon
Calumma furcifer,Fork-nosed chameleon
Calumma gastrotaenia,Short-nosed chameleon
Calumma hilleniusi,Hillenius' short-nosed chameleon
Calumma malthe,Green-eared chameleon
Calumma nasutum,Big-nosed chameleon
Calumma oshaughnessyi,O'Shaughnessy's chameleon
Calumma parsonii,Parson's chameleon
Caluromys lanatus,Brown-eared woolly opossum
Caluromys philander,Bare-tailed woolly opossum
Caluromysiops irrupta,Black-shouldered opossum
Calvia quatuordecimguttata,Cream-spotted lady beetle
Calycanthus floridus,Eastern sweetshrub
Calycanthus floridus,Eastern sweetshrub
Calycanthus occidentalis,Spice bush
Calycophyllum candidissimum,Degame lemonwood tree
Calypogeia fissa,Common pouchwort
Calypso bulbosa,Fairy slipper
Calypte anna,Anna's hummingbird
Calypte costae,Costa's hummingbird
Calyptocarpus vialis,Straggler daisy
Calyptomena viridis,Lesser green broadbill
Calyptommatus leiolepis,Spectacled lizard
Calyptommatus sinebrachiatus,Spectacled lizard
Calyptophilus frugivorus,Eastern chat-tanager
Calyptorhynchus banksii,Red-tailed black cockatoo
Calyptra thalictri,Vampire moth
Calystegia sepium,Hedge bindweed
Calystegia soldanella,Sea bindweed
Camaena cicatricosa,Land snail
Camassia leichtlinii,Western quamash
Camassia quamash,Common quamash
Camassia scilloides,Wild hyacinth
Cambarellus chapalanus,Dwarf crayfish
Cambarellus patzcuarensis,Dwarf crayfish
Cambarellus schmitti,Fontal dwarf crayfish
Cambarellus shufeldtii,Cajun dwarf crayfish
Cambarus hamulatus,Prickly cave crayfish
Cambarus hubrichti,Salem cave crayfish
Cambarus maculatus,Freckled crayfish
Camelina microcarpa,Littlepod false flax
Camelina sativa,False flax
Camellia sasanqua,Christmas camellia
Camelops hesternus,Western camel
Camelus bactrianus,Bactrian camel
Camelus ferus,Wild bactrian camel
Camissonia arenaria,Fortuna range suncup
Camissonia boothii,Booth's evening-primrose
Camnula pellucida,Clear-winged grasshopper
Campaea perlata,Pale beauty
Campanula medium,Canterbury bells
Campanula trachelium,Nettle-leaved Bellflower
Campephaga flava,Black cuckoo-shrike
Campephilus guatemalensis,Pale-billed woodpecker
Campephilus imperialis,Imperial woodpecker
Campephilus principalis,Ivory-billed woodpecker
Camponotus atriceps,Florida carpenter ant
Camponotus floridanus,Florida carpenter ant
Campsis grandiflora,Trumpet vine
Campsis radicans,Trumpet creeper
Camptostoma imberbe,Northern beardless-tyrannulet
Camptotheca acuminata,Happy tree
Campylocentrum micranthum,Fairy bentspur orchid
Campylocentrum pachyrrhizum,Leafless bentspur orchid
Campylopterus curvipennis,Wedge-tailed sabrewing
Campylorhynchus brunneicapillus,Cactus wren
Campylostelium saxicola,Rock-loving swan-necked moss
Cananga odorata,Ylang-ylang tree
Canavalia brasiliensis,Brazilian jack bean
Canavalia ensiformis,Jack bean
Canavalia gladiata,Sword bean
Canavalia lineata,Beach bean
Canavalia rosea,Beach bean
Cancellaria jayana,Jay's nutmeg snail
Cancer borealis,Jonah crab
Cancer irroratus,Atlantic rock crab
Cancer pagurus,Rock crab
Cancer productus,Red rock crab
Candida humilis,Sour dough yeast
Candoia aspera,New Guinea boa
Candoia carinata,Papuan tree boa
Canella winterana,Wild cinnamon
Canis adustus,Side-striped jackal
Canis aureus,Golden jackal
Canis lupus,Gray wolf
Canis mesomelas,Black-backed jackal
Canis rufus,Red wolf
Canis simensis,Ethiopian wolf
Canna generalis,Canna lily
Cantharidus roseus,Sea snail
Canthidermis maculata,Rough triggerfish
Canthigaster coronata,Crowned puffer
Canthigaster valentini,Valentin's sharpnose puffer
Capensibufo rosei,Rose's mountain toad
Caperea marginata,Pigmy right whale
Capitella teleta,Polychaete worm
Capitulum mitella,Stalked barnacle
Capnia gracilaria,Slender snowfly
Capra caucasica,West Caucasian tur
Capra cylindricornis,East Caucasian tur
Capra hircus,Wild goat
Capra ibex,Alpine ibex
Capra nubiana,Nubian ibex
Capra sibirica,Siberian ibex
Capreolus capreolus,European roe deer
Capreolus pygargus,Eastern roe deer
Capricornis crispus,Japanese serow
Capricornis sumatraensis,Sumatran serow
Capricornis swinhoei,Taiwan serow
Capromys pilorides,Desmarest's hutia
Capsella bursa-pastoris,Shepherd's purse
Capsicum annuum,Red pepper
Capsicum baccatum,Peruvian pepper
Capsicum chinense,Scotch bonnet
Capsicum frutescens,Cayenne pepper
Caquetaia kraussii,Krauss' basketmouth cichlid
Carabus arvensis,Ground beetle
Carabus auronitens,Golden ground beetle
Carabus cancellatus,Ground beetle
Carabus coriaceus,Ground beetle
Carabus glabratus,Ground beetle
Carabus granulatus,Ground beetle
Carabus hummeli,Ground beetle
Carabus lopatini,Ground beetle
Carabus nemoralis,Ground beetle
Carabus nitens,Ground beetle
Carabus problematicus,Ground beetle
Carabus violaceus,Violet ground beetle
Caracanthus maculatus,Spotted coral croucher
Caracara plancus,Southern caracara
Caragana arborescens,Siberian pea tree
Carales astur,Cramer's leopard moth
Carangoides armatus,Longfin trevally
Carangoides bartholomaei,Yellow jack
Carangoides chrysophrys,Longnose trevally
Carangoides equula,Whitefin trevally
Carangoides malabaricus,Malabar trevally
Carangoides otrynter,Threadfin jack
Caranx caballus,Green jack
Caranx crysos,Blue runner
Caranx hippos,Crevalle jack
Caranx ignobilis,Giant trevally
Caranx latus,Horse-eye jack
Caranx melampygus,Bluefin trevally
Caranx rhonchus,False scad
Caranx ruber,Bar jack
Caranx sexfasciatus,Bigeye trevally
Caranx tille,Tille trevally
Carassius carassius,Crucian carp
Carassius gibelio,Prussian carp
Carausius morosus,Indian stick insect
Carcharhinus acronotus,Blacknose shark
Carcharhinus altimus,Bignose shark
Carcharhinus amblyrhynchoides,Graceful shark
Carcharhinus brachyurus,Copper shark
Carcharhinus brevipinna,Spinner shark
Carcharhinus falciformis,Silky shark
Carcharhinus leucas,Bull shark
Carcharhinus limbatus,Blacktip shark
Carcharhinus longimanus,Oceanic whitetip shark
Carcharhinus macloti,Hardnose shark
Carcharhinus melanopterus,Blacktip reef shark
Carcharhinus obscurus,Dusky shark
Carcharhinus perezii,Reef shark
Carcharhinus plumbeus,Sandbar shark
Carcharhinus porosus,Smalltail shark
Carcharhinus sorrah,Spot-tail shark
Carcharhinus tilstoni,Australian blacktip shark
Carcharias taurus,Sand tiger shark
Carcharodon carcharias,Great white shark
Carcinops gilensis,Hister beetle
Carcinops pumilio,Hister beetle
Carcinoscorpius rotundicauda,Mangrove horseshoe crab
Carcinus aestuarii,Green crab
Carcinus maenas,Common shore crab
Cardamine amara,Large bitter-cress
Cardamine angustata,Slender toothwort
Cardamine bellidifolia,Alpine bitter-cress
Cardamine breweri,Brewer's bitter-cress
Cardamine bulbosa,Bulbous bitter-cress
Cardamine californica,Milk maids
Cardamine clematitis,Small mountain bitter-cress
Cardamine concatenata,Cut-leaved toothwort
Cardamine diphylla,Crinkled toothwort
Cardamine flexuosa,Wavy bitter-cress
Cardamine hirsuta,Hairy bitter-cress
Cardamine maxima,Large toothwort
Cardamine pensylvanica,Pennsylvania bitter-cress
Cardamine pratensis,Cuckoo flower
Cardellina canadensis,Canada warbler
Cardellina pusilla,Wilson's warbler
Cardellina rubrifrons,Red-faced warbler
Cardinalis cardinalis,Northern cardinal
Cardioderma cor,Heart-nosed bat
Cardiopharynx schoutedeni,Cichlid fish
Cardisoma carnifex,Blue land crab
Carduus carlinoides,Pyrenean thistle
Carduus nutans,Musk thistle
Carduus pycnocephalus,Italian thistle
Caretta caretta,Loggerhead sea turtle
Carettochelys insculpta,Pitted-shelled turtle
Carex atrofusca,Darkbrown sedge
Carex brevicaulis,Shortstem sedge
Carex cephalophora,Oval-leaf sedge
Carex dioica,Dioecious sedge
Carex geophila,White mountain sedge
Carex globosa,Globe sedge
Carex laxiflora,Broad looseflower sedge
Carex nigra,Smooth black sedge
Carex oligocarpa,Richwoods sedge
Carex pensylvanica,Pennsylvania sedge
Carex phacota,Lakeshore sedge
Carex rossii,Ross' sedge
Carex rostrata,Beaked sedge
Carex scirpoidea,Northern singlespike sedge
Carex serpenticola,Serpentine sedge
Carex thornei,Thorne's sedge
Carex tonsa,Shaved sedge
Carex umbellata,Parasol sedge
Carex vulpinoidea,Brown fox sedge
Carex xerantica,Whitescale sedge
Cariama cristata,Red-legged seriema
Carica papaya,Papaya
Caridina acutirostris,Freshwater shrimp
Caridina ensifera,Freshwater shrimp
Caridina spinata,Gold spotted shrimp
Caridina spongicola,Celebes beauty shrimp
Caridina typus,Freshwater shrimp
Caridina zebra,Freshwater shrimp
Carijoa riisei,Snowflake coral
Carios capensis,Seabird soft tick
Carios mexicanus,Soft tick
Caripeta divisata,Gray spruce looper
Carlia fusca,Brown four-fingered skink
Carlia rhomboidalis,Blue-throated rainbow-skink
Carlia rubrigularis,Northern red-throated skink
Carlina vulgaris,Carline thistle
Carollia brevicauda,Silky short-tailed bat
Carollia castanea,Chestnut short-tailed bat
Carollia perspicillata,Seba's short-tailed bat
Carollia subrufa,Gray short-tailed bat
Carpenteria californica,Tree anemone
Carphephorus corymbosus,Coastalplain chaffhead
Carphodactylus laevis,Chameleon gecko
Carpinus betulus,European hornbeam
Carpinus caroliniana,American hornbeam
Carpinus cordata,Heartleaf hornbeam
Carpinus orientalis,Oriental hornbeam
Carpiodes carpio,River carpsucker
Carpiodes cyprinus,Quillback carpsucker
Carpobrotus chilensis,Sea fig
Carpococcyx renauldi,Coral-billed ground-cuckoo
Carpocoris fuscispinus,Shield bug
Carpocoris mediterraneus,Shield bug
Carpocoris purpureipennis,Shield bug
Carpodacus erythrinus,Common rosefinch
Carpodacus pulcherrimus,Beautiful rosefinch
Carpodacus roseus,Pallas' rosefinch
Carpodacus sipahi,Scarlet finch
Carpoglyphus lactis,Dried fruit mite
Carposina sasakii,Peach fruit moth
Carteria cerasiformis,Green alga
Cartodere nodifer,Swollen fungus beetle
Carukia barnesi,Irukandji jellyfish
Carybdea alata,Hawaiian box jellyfish
Carybdea rastonii,Box jellyfish
Caryedon serratus,Groundnut bruchid beetle
Caryota mitis,Burmese fishtail palm
Casimiroa edulis,White sapote
Cassia fistula,Golden shower tree
Cassida rubiginosa,Green tortoise beetle
Cassiope lycopodioides,Clubmoss mountain heather
Cassiope mertensiana,Western moss heather
Cassiopea andromeda,Upside-down jellyfish
Cassiopea frondosa,Upsidedown jellyfish
Cassiopea xamachana,Mangrove jellyfish
Castanea crenata,Japanese chestnut
Castanea sativa,Sweet chestnut
Castanopsis chinensis,Chinese evergreen chinquapin
Castilleja linariifolia,Wyoming Indian paintbrush
Castilleja sulphurea,Sulphur Indian paintbrush
Castor canadensis,American beaver
Castor fiber,Eurasian beaver
Casuarina equisetifolia,Beach she-oak
Casuarina glauca,Swamp oak
Casuarius bennetti,Dwarf cassowary
Casuarius casuarius,Southern cassowary
Catacanthus incarnatus,Man-faced stink bug
Cataetyx rubrirostris,Rubynose brotula
Cataglyphis bombycinus,Saharan silver ant
Catalpa bignonioides,Southern catalpa
Catalpa speciosa,Northern catalpa
Catharacta antarctica,Brown skua
Catharacta maccormicki,South polar skua
Catharacta skua,Great skua
Catharanthus roseus,Madagascar periwinkle
Catharopeza bishopi,Whistling warbler
Cathartes aura,Turkey vulture
Catharus bicknelli,Bicknell's thrush
Catharus frantzii,Ruddy-capped nightingale-thrush
Catharus guttatus,Hermit thrush
Catharus minimus,Gray-cheeked thrush
Catharus ustulatus,Russet-backed thrush
Catherpes mexicanus,Canyon wren
Catocala andromedae,Gloomy underwing moth
Catocala nupta,Red underwing moth
Catocala ultronia,Ultronia underwing moth
Catomerus polymerus,Surf barnacle
Catopuma badia,Bay cat
Catostomus bernardini,Yaqui sucker
Catostomus clarkii,Desert sucker
Catostomus commersonii,White sucker
Catostomus plebeius,Rio Grande sucker
Catostylus mosaicus,Blue blubber jellyfish
Catreus wallichii,Cheer pheasant
Cattleya lueddemanniana,Lueddemann's cattleya
Caulanthus flavescens,Yellow mustard
Caulanthus lasiophyllus,California mustard
Caulastraea furcata,Candy cane coral
Caulerpa racemosa,Green alga
Caulerpa taxifolia,Killer algae
Caulophryne jordani,Fanfin angler
Caulophryne pelagica,Fanfin anglerfish
Caulophyllum thalictroides,Blue cohosh
Causus defilippii,Snouted night adder
Causus rhombeatus,Rhombic night adder
Cavenderia fasciculata,Slime mold
Cavia aperea,Brazilian guinea pig
Cavia cutleri,Guinea pig
Cavia porcellus,Guinea pig
Ceanothus crassifolius,Hoary-leaved lilac
Ceanothus thyrsiflorus,Blue blossom
Ceanothus tomentosus,Ramona lilac
Ceanothus verrucosus,Wart-stemmed lilac
Cebus albifrons,White-fronted capuchin
Cebus capucinus,White-faced sapajou
Cebus kaapori,Ka'apor capuchin
Cebus olivaceus,Weeper capuchin
Cedrus atlantica,Atlas cedar
Cedrus deodara,Deodar cedar
Ceiba acuminata,Silk cotton tree
Ceiba pentandra,Kapok tree
Celastrina argiolus,Holly blue butterfly
Celastrina hersilia,Azure butterfly
Celastrina ladon,Spring azure
Celastrina neglecta,Summer azure butterfly
Celastrus orbiculatus,Oriental bittersweet
Celastrus scandens,American bittersweet
Celestus enneagrammus,Huaxteca lesser galliwasp
Celestus warreni,Giant Hispaniolan galliwasp
Celeus elegans,Chestnut woodpecker
Celeus flavus,Cream-colored woodpecker
Celeus grammicus,Scaly-breasted woodpecker
Celithemis elisa,Calico pennant dragonfly
Cellana exarata,Hawaiian blackfoot limpet
Cellana ornata,Ornate limpet
Cellana radians,Radiate limpet
Celosia argentea,Silver cock's comb
Cemophora coccinea,Scarlet snake
Cenchritis muricatus,Beaded periwinkle
Cenchrus americanus,Pearl millet
Centaurea benedicta,Blessed thistle
